Įstaiga;Paslauga;Renginio pavadinimas;Metai;Lėšos;Dalyvių skaičius
VšĮ „Skalvijos“ kino centras;Tarptautinių bendradarbiavimo renginių, projektų, seminarų organizavimas;Tarptautinis festivalis žmogaus teisių temomis „Nepatogus kinas“;2015;-;-
VšĮ „Skalvijos“ kino centras;Tarptautinių bendradarbiavimo renginių, projektų, seminarų organizavimas;Tarptautinis Vilniaus dokumentinių filmų festivalis.;2015;35000;3000
VšĮ „Skalvijos“ kino centras;Tarptautinių bendradarbiavimo renginių, projektų, seminarų organizavimas;XI Tarptautinis Vilniaus dokumentinių filmų festivalis;2015;1013.67;-
VšĮ „Skalvijos“ kino centras;Tarptautinių bendradarbiavimo renginių, projektų, seminarų organizavimas;Tarptautinis Vilniaus dokumentinių filmų festivalis;2015;35000;-
VšĮ „Skalvijos“ kino centras;Tarptautinių bendradarbiavimo renginių, projektų, seminarų organizavimas;Tarptautinei Afrikos dienai skirtas seansas „Pakeliui į mokyklą“;2015;-;-
VšĮ „Skalvijos“ kino centras;Tarptautinių bendradarbiavimo renginių, projektų, seminarų organizavimas;10-asis Vilniaus tarptautinis trumpųjų filmų festivalis;2015;-;-
VšĮ „Skalvijos“ kino centras;Tarptautinių bendradarbiavimo renginių, projektų, seminarų organizavimas;13-tas tarptautinis animacinių filmų festivalis Tindirindis;2015;-;-
VšĮ „Skalvijos“ kino centras;Tarptautinių bendradarbiavimo renginių, projektų, seminarų organizavimas; XIII Tarptautinis Vilniaus dokumentinių filmų festivalis“ ;2016;1600;-
VšĮ „Skalvijos“ kino centras;Tarptautinių bendradarbiavimo renginių, projektų, seminarų organizavimas;   13-asis Tarptautinis Vilniaus dokumentinių filmų festivalis;2016;25000;-
VšĮ „Skalvijos“ kino centras;Tarptautinių bendradarbiavimo renginių, projektų, seminarų organizavimas;Vilniaus Tarptautinis dokumentinių filmų festivalis;2016;-;3000
VšĮ „Skalvijos“ kino centras;Tarptautinių bendradarbiavimo renginių, projektų, seminarų organizavimas;Specialus Vilniaus tarptautinio festivalio „Sirenos“ seansas;2016;-;100
VšĮ „Skalvijos“ kino centras;Tarptautinių bendradarbiavimo renginių, projektų, seminarų organizavimas;Tarptautinis Vilniaus dokumentinių filmų festivalis;2016;-;3000
VšĮ „Skalvijos“ kino centras;Tarptautinių bendradarbiavimo renginių, projektų, seminarų organizavimas;14-as Tarptautinis Vilniaus dokumentinių filmų festivalis;2017;20000;-
VšĮ „Skalvijos“ kino centras;Valstybės švenčių ir tradicinių Vilniaus miesto renginių, apdovanojimų ir minėtinų datų paslauga ;Vasario 16-osios valstybingumo maršrutai „Geltona Žalia Raudona“;2016;-;400
VšĮ „Skalvijos“ kino centras;Vilniaus miesto mugių paslauga;Knygų mugės seansai. Filmas „Violeta“, programa „Detektyviniai Arthuro Conano Doyle‘io siužetai“. Su pristatymais;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto mugių paslauga;Vilniaus knygų mugės seansas;2016;-;100
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės kultūros įstaigų projektų konkursas;Projektas „Kino edukacijos plėtra Lietuvos regionuose“ ;2015;9000;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės kultūros įstaigų projektų konkursas;Projektas „Skalvijos“ kino akademija ;2015;15000;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės kultūros įstaigų projektų konkursas;Projektas „Skalvijos“ kino akademijos kūrybinė vasaros stovykla ;2015;4500;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės kultūros įstaigų projektų konkursas;Projektas „Kino klasikos vakarai“ ;2015;7000;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės kultūros įstaigų projektų konkursas;Nacionalinis kino edukacijos projektas „Mokausi iš kino“;2015;-;13000
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės kultūros įstaigų projektų konkursas;Projektas „Skalvijos“ kino akademija;2016;1300;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės kultūros įstaigų projektų konkursas;Projektas „Savaitgalio seansai vaikams „Karlsono kinas“  ;2016;2500;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės kultūros įstaigų projektų konkursas;Kino edukacijos projektas bendrojo lavinimo mokykloms „Mokausi iš kino“;2016;10000;11250
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės kultūros įstaigų projektų konkursas;   Projektas „Skalvijos“ kino akademija;2016;12000;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės kultūros įstaigų projektų konkursas;Projektas „Kino klasikos vakarai“ ;2016;5000;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės kultūros įstaigų projektų konkursas; Projektas „Lietuvos kino paveldo kontekstai: istorinės ir kultūrinės atminties išsaugojimas kinematografijoje“;2016;4000;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės kultūros įstaigų projektų konkursas;Projektas „Savaitgalio seansai vaikams „Karlsono kinas“  ;2017;2000;1345
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės kultūros įstaigų projektų konkursas;Projektas „Skalvijos“ kino akademija;2017;2000;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės kultūros įstaigų projektų konkursas;    Projektas „Kino klasikos vakarai“ ;2017;6000;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės kultūros įstaigų projektų konkursas;Nacionalinis kino edukacijos projektas „Mokausi iš kino“;2017;-;13000
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės kultūros įstaigų projektų konkursas;Nacionalinis kino edukacijos projektas „Mokausi iš kino“;2018;-;16238
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės kultūros įstaigų projektų konkursas;Nacionalinis kino edukacijos projektas „Mokausi iš kino“;2019;-;17500
VšĮ „Skalvijos“ kino centras;Vilniaus miesto švenčių paslauga;Tarptautinis Vilniaus kino festivalis „Kino pavasaris“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto švenčių paslauga; Europos šalių kino forumas „Scanorama“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto švenčių paslauga;Tarptautinis kino festivalis „Kino pavasaris“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto švenčių paslauga;Vilniaus kino festivalis „Kino pavasaris“;2016;-;3838
VšĮ „Skalvijos“ kino centras;Vilniaus miesto švenčių paslauga;Europos šalių kino forumas „Scanorama“;2016;-;1254
VšĮ „Skalvijos“ kino centras;Vilniaus miesto švenčių paslauga;Vytauto Žalakevičiaus minėjimo vakaras;2016;-;100
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Prancūzų kino festivalis „Žiemos ekranai“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Lenkų kino savaitė;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Vokiško kino savaitė;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Klasikos seansai;2015;;3000
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Romano Polanskio filmų retrospektyva;2015;5000;1000
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;„Skalvijos“ kino akademija;2015;1042.63;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Mobiliųjų telefonų dirbtuvės „Paversk žodžius vaizdais“;2015;2896.2;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Edukacinis kino renginių ciklas vaikams „Karlsono kinas 2015“ ;2015;3000;2500
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Kino kursai suaugusiems;2015;-;60
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Filmų platinimas;2015;-;6880
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Kino klasikos vakarai. Filmai „Pusryčiai pas Tifanį“,;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;„Mėlynas aksomas“. Seansus pristatė kino profesionalai.;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Specialūs seansai  šeimoms „Karlsono kinas“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Specialūs seansai senjorams;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;„Skalvijos“ kino akademijos rudens darbų peržiūra;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Prancūzų kino festivalis „Žiemos ekranai“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Lietuvių kino vakaras. Filmas „Nėra laiko gerumui“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Vaidoto Aukštaičio fotografijų paroda „Rožynas“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Kino klasikos vakarai. Filmas „Mėlynas aksomas“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;„Mirtis Venecijoje“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Specialūs seansai senjorams;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Specialūs seansai  šeimoms „Karlsono kinas“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Specialus seansas. Filmas „Gyvenk ir leisk gyventi“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;„Vokiško kino dienos: nauji filmai iš Vokietijos, Austrijos ir Šveicarijos“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Filmų ciklas „Nepatogus kinas“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Specialūs seansai. Filmas „Maidanas“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Sauliaus Zakarevičiaus fotografijų paroda „Povandeninė Lietuva“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Kino klasikos vakarai. Filmas „Mirtis Venecijoje“.  Seansus pristatė kino profesionalai.;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Specialūs seansai senjorams;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Specialūs seansai  šeimoms „Karlsono kinas“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Specialūs seansai. Filmas „Maidanas“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Lenkų kino klubas. Filmas „Esi Dievas“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Frankofonijos dienų seansas. Filmai „Rašymo lenta“, „Pavainikis“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Ciklas „Nepatogus kinas“. Filmas „Skalbykla“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Urtės Jasenkaitės fotografijų paroda „Konfeti“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Kino klasikos vakarai. Filmas „2001 metų kosminė odisėja“. Seansus pristatė kino profesionalai.;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Specialūs seansai senjorams;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Specialūs seansai  šeimoms „Karlsono kinas“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Trumpametražių filmų programa „Moving Cinema“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Lenkų kino klubas. Filmas „Myliu“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Indrės Aleksiejūnienės fotografijų paroda;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Ciklas „Nepatogus kinas“. Filmas „Virunga“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Rasos Joni animacijos dirbtuvėlės.;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Kino klasikos vakarai. Filmai: „2001 metų kosminė odisėja“,;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;„Saulutės“. Seansus pristatė kino profesionalai.;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Specialūs seansai senjorams;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Specialūs seansai  šeimoms „Karlsono kinas“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Specialus seansas Motinos dienos proga „Mamytė“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Specialus seansas. Filmas „Poveikio nedarantis žmogus“.;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Seansas, skirtas Kanų kino festivalio atidarymui. Filmas „Aš tuoj grįšiu“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Lenkų kino klubas. Filmas „Mano vardas Ki“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Ciklas „Nepatogus kinas“. Filmas „Skalbykla“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Lietuvių kino vakarai. Filmai: „Pakeliui į prieplauką“,;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;„Sigutė“. „Skalvijos“ kino akademijos filmų peržiūra;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Austėjos Vakarinaitės fotografijų paroda „Prasimanymai“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;„Sidabrinių gervių“ nominantų programa.;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Kino klasikos vakarai. Filmas „Lulu“. Seansus pristatė kino profesionalai. Agnès Varda filmų programa . Ciklas „Filmai, kuriuos norėjote, bet nespėjote pamatyti“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;„Kulinarinė kltūros naktis“. Filmai „Vakarienė kaip sapnas“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Roko Danilevičiaus fotografijų paroda „NOT K-POP“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Kino klasikos vakarai. Filmas „Jeigu...“. Seansus pristatė kino profesionalai.;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas; Ciklas „Filmai, kuriuos norėjote, bet nespėjote pamatyti“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;„Skalvijos“ kino akademijos vasaros darbų peržiūra;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Vilniaus LGBT festivalis „Kreivės“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Mariaus Čiplio piešinių paroda „Kosmosas“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Kino klasikos vakarai . Filmas „Jeigu...“. Seansus pristatė kino profesionalai;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;12-asis Vilniaus dokumentinių filmų festivalis;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Specialūs seansai senjorams;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Ciklas „Karlsono kinas“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Specialus seansas. Filmas „Pakeliui į mokyklą“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Lenkų kino klubas. Filmas „Fotografas“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;„Sirenų“ klubas. Filmai: „Trikampiui pakilus: Krystian Lupa stato „Didvyrių aikštę“, „Eimuntas Nekrošius: nutolinti horizontą“, „Sangue - kraujas“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Specialūs seansai. Filmas „Fassbinderis: mylėti nereikalaujant“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Mindaugo Česlikausko fotografijų paroda „nepavadinti“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Kino klasikos vakarai. „Žemuogių pievelė“. Seansus pristatė kino profesionalai.;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Ciklas „Karlsono kinas“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Specialūs seansai senjorams;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Alberto ir Davido Mayslesų filmų retrospektyva;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Lenkų kino savaitė;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Žmogaus teisių kino festivalis „Nepatogus kinas“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Ciklas „Debiutai“. Organizatorius: „Skalvijos“ kino centras;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Specialūs seansai. Filmai: Tobulo mokytojo žodžiai“, „Skaidrusis Lama“, „Senovės Tibeto beieškant“. Organizatoriai: Asociacija „Tibeto kultūros namai“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Specialūs seansai. Filmas „Velnio nuotaka“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Fotografijų paroda „Nuotraukos prabyla. Vakarų Sacharos istorijos“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Kino klasikos vakarai. Filmas „Svaigulys“. Seansus pristatė kino profesionalai;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Specialūs seansai senjorams;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Ciklas „Karlsono kinas“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Ciklas „Scena“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Specialus seansas. Filmas „Beveik Švedija“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Specialus seansas. Filmas „Vienybė“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Ciklas „Postfest“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Lenkų kino klubas. Filmas „Jeziorak“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Aušros Bagočiūnaitės-Paukštienės plakatų paroda „Premjera“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Romano Polanskio filmų retrospektyva;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Specialūs seansai senjorams;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Ciklas „Karlsono kinas“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Specialus seansas. Filmas „Olga“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Lenkų kino klubas. Filmas „Tiesos grūdas“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Ciklas „Paolo Sorrentino diptikas“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Paskaita „Kaip žiūrėti Kinijos kiną: edukacinis kino vakaras“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Kino klasikos vakarai. „Džiaze tik merginos“. Seansus pristatė kino profesionalai.;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Justinos Mykolaitytės fotografijų paroda „Net ne horizontas“;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Prancūzų kino festivalis „Žiemos ekranai“;2016;-;890
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Specialūs „Skalvijos“ kino akademijos seansai;2016;-;200
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;„Oskarams“ numinuotų filmų programos;2016;-;300
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Filmų ciklas „Vaikų pasauliai belgų ir olandų kine“;2016;-;120
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Specialus seansas „Kailis“;2016;-;100
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Danų kino klubas;2016;-;400
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Vokiško kino dienos;2016;-;500
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Frankofonijos dienų filmų programa;2016;-;200
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Kino filmo „Prisimenu motinos balsą“ premjera;2016;-;30
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Specialus „Skalvijos“ kino akademijos kuratorių seansas;2016;-;50
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės viešųjų kultūros įstaigų paslaugų akseleravimas;Baltijos kino ir medijų mokyklos studentų geriausių 2016 m. darbų peržiūra;2016;-;100
